Nama,Sentimen,Ulasan
Alzaidan Faeza,Negatif,Sayang y gk di pakai untuk piala dunia u23
Ama Prama,Positif,Baru nyobain masuk ternyata wah banget
ama_powell,Negatif,Yang ada tiket dm dong
Amalia Amalia,Negatif,"Stadiumnya bagus, tapi akses transportasi umum masih sedikit pilihan. Jalan di luar masih banyak perbaikan jadi sempit"
amalia WR,Negatif,gaada sinyal didalem
Aman Sri Baitono,Positif,"Stadion kebanggan warga Jakarta khususnya, umumnya bngsa Indonesia dibangun dg megastrukur pd rangka atap bentang lebar/spaceframe yg bs dibuka tutup sesuai kebutuhan even..."
Amanah Eka Putri,Positif,Akhirnya kesampaian ke JIS.Ini gede banget plus mewah banget emang. Tapi puanas poll. Ke sini siang siang auto Keling. Kemaren dalemnya agak pengap gitu. Gatau apa emang sirkulasi nya belum dibuka maksimal atau gimana.
amandaaulia433,Positif,kpn ya uji coba stadion kebanggaan
amar diono,Positif,"Beginilah hasil kerja cerdas tanpa korupsi, jakarta jadi semakin maju sekarang setara dengan kota2 di Eropa dan Amerika, GO pak anies!!!"
ambo aco,Positif,Stadion bertaraf Internasional semua nya serba canggih
ambrozon 1234_,Negatif,standar PSSI itu seperti lapangan wibawa mukti yg hujan lapangan nya banjir😅
Ambulance Solution,Positif,"Stadion Bertaraf Internasional, Satu satu nya paling keren dan top di Indonesia"
Amburadul 86,Positif,Wah keren banget ya
Ami Priliandi,Negatif,"JIS adalah mercusuar yg boros dan tidak tepat guna untuk kondisi riil sepak bola indonesia. Kajian buruk, hanya magnet utk orang2 udik saja"
Amina Raisa,Positif,"kesini karena nonton Pesta Rakyat Dewa 19. stadion nya megah bgt, cuma sayang air di kamar mandi kotorrr airnya kuning. + akses nya susah kalo ada event gede gini."
Amir Wicaksono,Positif,Stadion yg bagus.. Sangat keren..
Amri,Positif,keren.. bangkit bangsaku.
Amsi Rose,Positif,"Stadion yang Megah, sangat mengagumkan dan berkelas 😍"
Ana Laura Official,Positif,"Keren, dan luas bangettttttt."
Anak ke 3,Positif,jangan dibuat untuk tempat kampanye dan konser ya....!!!!
anak kos pejuang rupiah,Negatif,tempat parkir nya masih perlu di perhatikan bro😂
anak umik,Negatif,"tapi sayang gak standar pssi,, 😅"
"Anak, mu 🐊",Negatif,janji gak di buat kampanye 😳😳😳
anakbaikkkk_15,Negatif,Konser elit sepakbola sulit
anakbaikkkk_15,Negatif,Studio konser
anakgawang,Negatif,"bukan standar PSSI, padahal udah standar fifa😂"
anakkuat473,Positif,ikut bangga deh
Anang Muhammad Alfian,Negatif,"ga standar pssi karena sewa nya mahal 1 M , mending sewa pakansari sisanya masuk kantong"
anang panggabean,Positif,Megah..bangga punya stadium berkelas dunia..
anassukawa,Negatif,"Saya ada 1 tiket kelebihan,kalau minat Dm. Saya ada dipintu keluar barat dekat halte busway taman bmw"
Andi,Positif,njir gw kira di luar negei
andi edy,Negatif,Masih baru…. Jika ingin jogging sore belum bisa oleh satpamnya
Andi Lala,Negatif,Sebentar lagih bts konser di sinih kah
Andi Leo,Negatif,"Stadion sih ok, yg ancur itu akses ke JIS nya blm siap infrastruktur. Klo untuk persiapan penonton di kisaran 70-80rb seperti konser Dewa kemaren ya very poor. Macet parah untuk akses jalan keluar masuknya. Wajar klo ngga di approve sama FIFA. Nama international mending ngga usah dipake."
Andi Lesmana,Positif,bagus mewah tapi sayang blm bisa masuk . Pas kesana
andi mulyawan susanto,Positif,Stadion berkelas internasional rumah bagi team persija maju terus...
andi mulyawan susanto,Positif,Stadion berkelas internasional rumah bagi team  maju terus...
Andi Rustam Hadiwija,Negatif,proyek hasil hutang
Andre,Negatif,gua yg tinggal jalan kaki ke jis belom pernah masuk😁😂
Andre Fals,Positif,Saya suka dengan suasana di jis
ANDRE SAPUTRA,Positif,"Belum selesai aja sdh keren ni stadium, luas, megah dan nyaman"
Andreas Eka (Bang Zafran),Positif,👌
andri,Positif,bangga gw jd warga jakarta.
Andri Ajjah,Positif,Mantab kebanggan orang jakarta peninggalan gubernur DKI Jakarta dan dibanggain jd calon orang Nmr 1 di Indonesia semoga Allah membimbingnya sampai di istana.
Andri Yuliansyah,Positif,stadion paling wah se Indonesia
andri087,Positif,terima kasih pa anies atas semua yg kau berikan untuk jakarta semakin berwibawa🥰....🥰 I LOVE YOU PRESIDEN KU ANIES BASWEDAN.🥰🥰🥰🥰🥰
ANDRIAN,Negatif,ada tukang parkirnya gasih😅
Andrisablon Oi,Positif,Cita rasa internasional malam hari dengan penuh pesonanya . Buat bangga warga Jakarta .. ( GOOD JOB )
ANDRU23,Negatif,biaya besar susah capek buatnya hanya jadi pemanis ibu kota 😂😅
Andy Riza Sahelangi,Positif,Persija Jakarta latihan di JIS saat puasa
Andy Riza Sahelangi,Positif,latihan di JIS saat puasa
Andy shankara,Positif,Terima kasih untuk pengelola jis stadium jakarta utara
andy Yuliyanto,Positif,Mantab pokoknya dah
Angel Anjani,Positif,Yang pada ke JIS tolong ya jangan buang sampah sembarangan dan jangan merusak fasilitas yang udah dibuat.. Yuk sama-sama jaga JIS biar terus bagus..
Angga Setiawan,Positif,Stadion kelas standar internasional terbaik di indonesia
anggaaamh_,Negatif,"Kalian gimaan sih, JIS kan di buat emang buat konser2 wkwkwk"
anggapratama6486,Negatif,"kata pssi, gk standar fifa"
anggasetiawan_87,Negatif,HARD ROCK
anggasyahputra833,Positif,"baru jadi gubernur aja udah wao, gimna kalo jd presiden🥰"
Anggie Prakoso,Positif,RUANGAN VVIP TAMPAK LEBIH MEWAH.
Anggih Tangkas,Positif,Stadion luas dan menjadi icon baru jakarta
anggilasmana_,Negatif,Konser aman sepakbola hancur
anggisinuhaji2,Negatif,sekali main 1 M wkkw
anggkobo,Negatif,Konser aman sepakbola gak jalan hmmmm
anggkobo,Negatif,Yayayayayayayaya gimana nih juragan
anggon321,Negatif,indo ni boss Malaysia mana punya stadiun kyk eropa wkwkwk senggol doong 😁😅😅
Anggun Amalia,Positif,"Lapangan nya benar benar luas sekali, kursi penontonnya pun bisa menampung ribuan orang dan kebersihannya pun terjaga, mau cari Mushola pun disana tersedia"
anggysafitrii,Positif,"Min, beneran boleh bawa tumbler?"
angling dharma,Negatif,"harusnya gak usah di bikin terlalu besar, aksesnya susah"
Ani Ahamad,Negatif,stadion bagus nggx memenuhi standard FIFA 😂
aniq widiyanto,Positif,Sangat membanggakan jika nanti ramai sama pemain Liverpool
Anisa clara,Positif,"Indonesia cuma punya dua stadion yg layak moderen JIS, GBK,"
ANJAR117,Negatif,ituh mah d Sunter
ankaym🐣,Negatif,emg standart pssi gmn?
annabil channel,Positif,"Stadion termegah,termodern dan tercanggih di Indonesia"
annam_1790,Positif,🔥😢
annida ulya,Positif,"Menarik hati, semoga dapat menjadi salah satu stadium kebanggaan Indonesia hingga tahun-tahun ke depan."
Annn,Negatif,tidak memenuhi kriteria kata mereka.
anoima handmade,Positif,"Stadionnya bagus, bersih, untuk foto-foto dari bagian luar stadion bagus sekali."
ANREKS⚡,Negatif,"aku heran SMS pemimpin PSSI , aslinya mau gk to sepakbola Indonesia maju"
Anto Beage,Negatif,blum memenuhi standar fifa
Anto D'niro,Positif,Untuk yang pertama Sholat Idul Fitri 1443 H di JIS
Anton Rahmadian,Positif,"Bagus banget, tiap lantai ada mushalla, stadion religius, olah raga dapat ibadah tak ketinggalan semoga berkah stadion"
AntonCha96,Positif,"Semoga Infrakstruktur pendukung bisa secepatnya di tambah dan di kerjakan scptnya, sygstadion bagus kalo gak di pakai🥺"
Antonio Milano,Positif,Mantab Priok punya gan
antonio_and_co_dillon_s,Positif,"Hi 👋🏻 , we just sent you a message. Please check your DM. Thanks 🤙"
Anty Octavia,Positif,Saya dari depok sengaja kesini eh mlh g blh masuk..memangny bkn tmpat umum yaa
Anwar Cireng,Positif,Tempatnya bagus banget paling bagus se indonesia
anwar hadi (Anwaruna80),Positif,"Bagus banget, kayaknya timnas perlu main di sini, kapan2."
anwarrr_,Positif,tertib dulu coba..
亗 Ꮲ Ꭱ Ꮖ Ꮇ Ꭼ ✈️😜,Positif,camp nou ge lewat ama jis mah🗿
✨,Positif,keren
Ap Ak865i,Positif,stadion kebanggaan orang Indonesia
apa aja,Negatif,pildun nya di sini dong
apa aja diadain,Positif,Stadion keren nyaman taraf internasional tapi PSSI ga suka stadion ini ENTAH kenapa wkwkwkkwwkkwkw
apaanweh97,Positif,jis stadium itu keren karna idenya pa jokowi dan wan yaman cuma ganti nama😂
apis juga manusia,Positif,Keren
Apit,Positif,vibes nya berasa nonton pildun jirr
Apizz_09,Negatif,stadion konser🥱
Apple User329649501,Negatif,td abis lewat rumput nya kok jelek kaya tarkam apa bner?
Apri Luriyanto,Positif,Bagus sekali
April move ♈,Negatif,karya anak negrikah beritanya seperti itu 😁
Aprilia Puspitasari,Positif,"Satpam yg berjaga banyak jadi kalau mau bertanya tdk perlu khawatir, toiletnya banyak tapi harus turun agak jauh jaraknya, dan ada toilet untuk penyandang disabilitas juga, ada lift juga tentunya, aksesnya dijaga sangat ketat. Untuk akses keluarnya agak susah&sempit jalannya."
Aprilia_wibowo,Positif,mewah ya kenapa ngga di sini ajah
Apryriyant,Positif,Indah sekali
apyoo1,Positif,bismillah pak anis dan anti banteng 🥰🥰🥰
Aqsa Driatama,Positif,Jakarta Hajatan 495 bakal jadi momen manis yang ga akan saya lupain.
AqUu Lia,Positif,Tempat nya bagus banget.. gedeee lagii...gak kalah sama GBK .. semoga semakin maju yaa Jakarta karena ada JIS ☺️
Aqwam Laksono,Positif,Keren dan megah...... Ngak sabaran buat nonton di stadion nya😅
ARAYA,Positif,"Bagus banget, Megah terlihat dari luar dan dari kejauhan. Bisa untuk tujuan gowes di hari libur. Suka banget. 😍"
arayy,Positif,gua pusing kalo liat lampu sorot
Arbyy` KENA SB,Negatif,jakarta mau tenggelam💀
ARD.IRFAN,Negatif,stadion pajangan
Arda¿🗿,Positif,akhirnya ya Allah aku menemukan kepanjangan SKI (stadion kebanggaan Indonesia)
Ardi,Positif,aku pernah liwat di situ bagus banget dari dekat
Ardi ansyah,Positif,keren parah siih ini ♥️♥️
Ardi ansyah,Positif,semoga ada kamera terbangnya ya😂
Ardi Awan,Positif,LUMAYAN MEGAHTETAPI BELUM SEPENUHNYA
Ardi Herianto,Positif,Kandang Persija Jakarta
Ardi Herianto,Positif,Kandang
Ardi Hermawan,Positif,Megah
ardiann.sgtm,Negatif,-1 rumput mahal
ardibagas canal,Negatif,"belum dibuka untuk umum, kecuali event/acara resmi"
ardidinata💸,Positif,JIS the best jakarta punya stadion termegah
Ardy Trisandhi,Positif,"Stadion yang sangat dibanggakan oleh seluruh rakyat Indonesia, semoga semakin banyak stadion mewah seperti ini dan Indonesia bisa menjadi Tuan Rumah Piala Dunia 🏆"
Arez_Evandy87,Negatif,Buat pajangan DKI doang minimal maksimal di pakek lah yaaa 😏😏
Arfa,Negatif,gw sering mancing d danau nyA
Arfan Taufik,Positif,Stadionnya luas
argastock,Negatif,ini stadion buat concer Bkn buat sepak bola
ari,Positif,"memmnah begitu biar masyarakat tidak menimbulkan kemacetan kalau kendaraan pribadi,, jadi biar naek kendaraan umum"
Ari Ajuy,Negatif,"STADION ELITE
SUPPORTER SULIT"
Ari Batix,Negatif,suruh buat parkiran dl lahh...efekk yg lenting jd😂😂
Ari Bowo,Positif,"Stadion paling bagus di Indonesia saat ini,,Luar biasa,,"
Ari Irawan,Positif,hebad pak anies
Ari Mahardika,Negatif,Blm ada parkiran motor didalam
Ari Maulana,Positif,CAKEP banget
Ari Nuswantoro,Positif,kebanggaan Jakarta akan menjadi kebanggaan Indonesia
ari sulistyowati,Positif,"Kebetulan Deket rmh, dan stadionnya keren"
ariafriadiii,Positif,Stadium untuk konser 😂😂
arie kusuma wardani,Positif,kereeeenn stadium nyaa
Arie Maulana,Positif,Stadion berkelas internasional. Fasilitasnya ok punya
Arief Budiman,Positif,Berkelas ..Akhirnya Tanjung Priok (jakarta utara) Pnya  stadion standar international juga.. trma ksh bpk gubernur ANIES BASWEDAN 🙏
Arief Gunawan,Negatif,stadion khusus PA 212 😅
arief hidayat,Negatif,statdion elit parkir sulit😂😂😂
Arief Said,Positif,Stadion kebanggaan warga Jakarta dan Indonesia. Dirancang dan dibangun oleh putra-putri terbaik Indonesia ...
Arief Sofyan,Positif,"Mantap lahan parkir luas dan nyaman, kekurangan belom full 100% pembangunan nya.....Semangat utk DKI Jakarta"
arief_29,Positif,ke d luar negri....tp negri nya sndri kya.....😑😑 akh sudah lah
Arif Firmansyah,Positif,Luar biasa
Arif Muhamad,Positif,"Sangat bersih dan luas, salah satu stadion kebanggaan   😍"
Arif Suprihantoro,Positif,Terima kasih bapak presiden Indonesia Anies R. Baswedan ✌
ariffebriyanto07,Negatif,kalo bisa ditutup nanti ada gas air mata gimana🥺
arifhofian,Negatif,kok jarang kepake
arifirawan1990,Positif,layak jadi stadion untuk ikut andil dalam pagelaran piala dunia u 20
ArifJoinToEsport,Negatif,tpi ini ga masuk standar PSSI 😂😂😂
ario21,Negatif,stadionya bagus udah standar internasional tp sayang tempat parkir kendaraan gak ada😂😂
Aris Koesnendar,Positif,Pengin ikutan sholat Iedul Fitri di JIS... dah penuh ga yaa..? 🕌😍
aris marjuki,Positif,"buset cm bangun ini sama sirkuit formula E doank Anis lgsg di puja""😅"
Aris_ariansyah,Negatif,sayang sekali iya stadion sebagus ini dan se megah ini bisa engga keliahatan sama mereka semangat terus buat pak anis 😁
Arkan 1982,Negatif,Masih kurang faham...knp stadion sekeren ini ga dipake dipildun u 20 nanti....pdhl andai saja ini dipake buat  pildun u 20...betapa bangga ny kita sebagai bangsa indonesia
arkardo.kalom,Negatif,Jis di bangun buat menggelar konser😂
Arliana Erma,Positif,"Pas lewat kmrn pas disterilkan buat sholat idul adha paginya, overal bagus sekali"
Armand Cherens,Positif,Stadion tercanggih dan terbaik di Indonesia...
arnes218,Negatif,GBK gelora buat konser
arnes218,Negatif,"bus bus apa yang lucu
buset di tunda lagi😂😂"
arrynnn,Positif,bangga Persija punya pak Anies Baswedan❤️❤️
ARS14,Positif,emirates stadium indonesia
Arshaanty,Positif,"Ke tribun palinh atas , di tangga nya minim penerangan , lampu2 mati , jadi kaya di kejar kejar zombie"
Arso Sumiarso,Positif,keren
Arsyad Harmain,Positif,"Kerenn.. fasilitasnya oke, loker room, kamar ganti, shower room dll bintang 5. Akses perlu perbaikan, untuk stadium sebesar ini aksesnya sangat sempit dan minim.. rumput perlu peningkatan kualitas masih kalah dgn GBK"
Art3mouS,Positif,Buat pajangan
arta@arsyi,Positif,tp beridri diatas tanah yg belum terbayarkan sama pihak yg punya tanah
artinya apa bang messi,Positif,keren banget jis
ArtPen,Positif,Bangga jadi anak Indonesia. Semoga Allah menjaga lapangan ini aminn
Arul Arsyad,Positif,ciamik
Arvandika Wisesa,Positif,"Megah banget tempatnya, segala fasilitasnya lengkap termasuk utk penyandang disabilitas. Disediakan pintu masuk utk penyandang fasilitas jg. Lokasi strategis deket sama 2 stasiun krl, dekat dgn ancol dan jalan tol. Dlm stadionnya megah dan mewah, 2 layar yg sangat besar dan kualitas gambar HD"
ary komputer,Negatif,nampak mcm panas.... pasti panas kn
Arya .S,Negatif,rumput e gak cocok ama bang messi
as01784,Positif,lebih baik nonton dewa ketimbang nonton bola toh indonesia kalah terus
Asal Asalan,Positif,MantapAlhamdulillah bisa berkontribusi.Tanpa saya dan team JIS gelap gulita😂
Asal asalan,Positif,"malam kyak di luar negeri,tiba siang behhh"
As'Ari 😎,Positif,b aja
asariniriris,Positif,Sudahlah gpp...suporter bola jg blm tentu bisa bertanggungjawab memeliharanya. Selalu merusak. Besok klo pak Anies jadi presiden pasti dipakai utk bola asal suporternya tidak barbar
Asep madrid,Positif,Tempatnnya sangat luas dekat dengan tanjung priok dan ancol
aset,Negatif,yang main .hanya pemain antar desa
Asewa 12,Positif,"Gak bisa di bayang kn kalau stadion ya di kasih ciri has batik pasti lebih mega lagi stadion ya,"
asfhar_engelen,Positif,"Gw di VIP yg ada kasurnya, sambil ngopi dan main laptop. 😍😂"
asjikiokiosi,Negatif,tapi sayang sepak bola indonesia masih belum sekelas korea selatan
asoy0997,Negatif,belum standar LG tlg akses dn lahan parkir x d kondisi kan..😂😂
Asrilah Munaji,Positif,"Nyempetin lari pagi di JIS, tempatnya sangat nyaman dan masih belum terlalu rame kayak di GBK. Cocok banget buat kalian yg lagi luang dan pengen olahraga dengan view stadion yg megah"
ASSALAMUALAIKUM,Negatif,"gw udah pernah kesitu tapi cuman liat stadion ya ajah, ituh juga liat ya di jalan tol.... dari samping"
Ast Husein,Positif,Cantik
asyaif yofik,Positif,"Pingin lihat timnas main di jis, tapi semua hanya mimpi"
athalla almiraz,Positif,kerennn
Athallah Azka,Positif,shalat ied pertama di jis
Avan Baadilla,Positif,"turut bangga dari indonesia timur ambon malukuselamat buat warga dki, tinggal di rawat dan di jaga dengan baiksemoga kami di indonesia timur juga punya stadion seperti ini amin."
avhxgilang,Negatif,Yg naik kereta. Pulang jam 11 ga ada kereta apa blh nginep ?
AW,Negatif,"lapangannya doang bagus, tpi banyak mafia mana mau maju😌"
awalia hima,Positif,Please gw bisa kesana tahun depan ya Allah
awangmia,Positif,Mantap🔥👏
Awenk Hermawan,Positif,Mantap.... Kebanggaan Indonesia dan warga Jakarta... Garis -garis disekeliling stadion disetting menghadap kiblat
Aya Not fav boy,Positif,"Gatau kenapa seneng bgt setelah sekian lama selalu dihina gapunya stadion + numpang, akhirnya bisa terwujudkan punya stadion sendiri. CONGRATS JAK🔥"
Aya Sanjaya,Positif,Indonesia bangkit...Tetap semangat walaupun badai menghadang💪😘✊
Ayah Putri,Positif,JIS Keren
Ayah Rakka,Positif,"Maen di lapangan luar nya, bukan dalem.tempat ganti/wc bersih. Ada ruang tunggu AC ,ada atm sama mesin minuman soda/ringan."
Ayangmu,Negatif,Sekilas bangunannya mirip alianz arena
ayangnya kamu,Positif,stadion sekeren ini gak masuk
ayeppoo,Negatif,"canggih aja , tapi gak ada std fifa😂"
ayf_htw,Positif,Saya mau nonton
Azdi 48,Positif,wow keren banget
Azfa Fatih Arrayis,Positif,yok bisa yok jadi kandang persija
Azharu Rosyidin,Positif,"Pernah berkunjung ke JIS dan ku akui memang keren, cuma saran kepada Jakpro mohon diperhijau lagi area sekitarnya, supaya makin syahdu"
Azhfar Dio,Positif,Kerennnn
azhra mahdavikia,Positif,"mampu menampung penonton 82.000 , stadium yg megah dengan material bangunan yg ranah lingkungan."
Azikinov A.K.,Positif,Suatu saat akan mendapatkan juga pengakuan dari Pemerintah
azka,Negatif,sayang sekali bukan lah standar PSSI 🥺
azka akuilana,Negatif,gw takut terbengkalai ni stadion 🥺
azkr10_,Positif,"Sekarang stadion udh lain fungsi cuma buat konser, kampanye, ibadah, giliran timnas atau Jakmania mau main ga pernah bisa alesan belom ada lahan parkir belom standar pssi giliran ini acara dengan penonton sama banyak nya bisaa"
AZLAN,Positif,cepat siap kan untuk raikan piala AFF!!!
